City Name,Incorporation Date,1980-2019 Number Annexations,1980-2019 Acreage Annexed,Closest Incorp Year Pop Data,Percent Change Pop (Incorp to 2018),"Government Structure (Council Manager, Strong Mayor Council, Weak Mayor Council, City Commission)",City Type (Charter or General Law),"Population Estimate
 (as of July 1, 2018)",Hispanic or Latino (%),"White alone, Not Hispanic or Latino (%)","Black alone, Not Hispanic or Latino (%)","American Indian and Alaska Native alone, Not Hispanic or Latino (%)","Asian alone, Not Hispanic or Latino (%)","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino (%)","Some other race alone, Not Hispanic or Latino (%)","Two or more races alone, Not Hispanic or Latino (%)","Household Income < $10,000 (%)","Household Income $10,000 - $14,999 (%)","Household income $15,000 to $24,999 (%)","Household Income $25,000 to $34,999 (%)","Household Income $35,000 to $49,999 (%)","Household Income $50,000 to $74,999 (%)","Household Income $75,000 to $99,999 (%)","Household Income $100,000 to $149,999 (%) ","Household Income $150,000 to $199,999 (%)","Household Income $200,000 or more (%)",Household Median income (dollars),Household Mean income (dollars),Percent Democratic,Enterprise Data- Water Services Provided by Other Agencies,No Match- Other Service Ent. Data to City Web data,"Four System Categories (1=City, 2=IOU, 3=SD, 4=Multiple/Mutual/Other City)",Number of System Types for Multiple Systems,Multiple System Types,System Type,Number of Water Systems,Water Systems,% of customers served outside of local jurisdiction boundaries, Has your jurisdiction adopted programs and/or policies to improve water use efficiency?,Retrofit requirements for commercial buildings at re-sale,Retrofit requirements for residential buildings at re-sale,Regulations that prohibit development projects that would result in a net increase in water use,Ordinances for recycled water,Ordinances or landscaping standards,Development standards that require or promote low-impact development (LID),"Residential water use restrictions (e.g., limited landscape watering times)","Commercial water use restrictions (e.g., limited landscape watering times)",Requirements for water metering at residential developments,Number of Sewer Systems,Sewer Systems,Number of Trash Collectors,Trash Services,,Overall Risk Designation,Overall Rank,Overall Points,Liquidity Points,Debt Burden Points,General Fund Reserves Points,Revenue Trends Points,Pension Obligations Points,Pension Funding Points,Pension Costs Points,Future Pension Costs Points,OPEB Obligations Points,OPEB Funding Points,OpRev_2018 (Water),OpExp_2018 (Water),NonOpRev_2018 (Water),NonOpEx_2018 (Water),TransfIn (Water),TransfOut (Water),Total Income (Water) ,Total Transfers In/Out (Water),Total Tranfers / Total Income (Water),OpRev_2018 (Sewer),OpExp_2018 (Sewer),NonOpRev_2018 (Sewer),NonOpEx_2018 (Sewer),TransfIn (Sewer),TransfOut (Sewer),Total Income (Sewer),Total In/Out (Sewer) ,Tranfers / Total Income (Sewer),OpRev_2018 (Solid Waste),OpExp_2018 (Solid Waste),NonOpRev_2018 (Solid Waste),NonOpEx_2018 (Solid Waste),TransfIn (Solid Waste),TransfOut (Solid Waste),Total Income (Solid Waste) ,Transfers In/Out (Solid Waste),Total Tranfers / Total Income (Solid Waste),OpRev_2018 (Electric ),OpExp_2018 (Electric),NonOpRev_2018 (Electric),NonOpEx_2018 (Electric),TransfIn (Electric),TransfOut (Electric ),Total Income (Electric) ,Transfers In/Out (Electric),Total Tranfers / Total Income (Electric),OpRev_2018 (Gas),OpExp_2018 (Gas),NonOpRev_2018 (Gas),NonOpEx_2018 (Gas),TransfIn (Gas),TransfOut (Gas),Total Income (Gas),Transfers In/Out (Gas),% Tranfers to Total Income (Gas),Total # Enterprise Funds (Excluding Water),Total # Enterprise Finds (With Water EF included ),Water EF (Y/N),Binary City Run or No,,City Run Water With NO EF,Water EF with No City Run System,Total Revenue Gov Funds,Total Revenue Proprietary Funds        ,Total Expenditures Gov Funds        ,Total Expenditures Proprietary Funds,Revenues Less Expenditures of Gov Funds,"Income Before Capital Contributions, Transfers, and Special and Extraordinary Items of Proprietary Funds ",Transfers In (Out) Proprietary Funds,Cash and Investments: Governmental Funds ,Cash and Investments: General Fund ,Cash and Investments: Enterprise Funds 
Baldwin Park,1956,3,77,"33,951",123.3012282,Council-Manager,General Law,75813,74.2,4,1.8,0.2,18.9,0.7,0.2,0.2,3.5,4,10.4,8.1,14.1,22.1,14.5,15.5,4.8,3,62227,72063,79.72,,,4,3,"IOU, Mutual, Special District",6,3,"San Gabriel Valley Water Company, Valley View Mutual Water Company, Valley County Water District (Special District)",#REF!,Yes,,,,,1,1,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Waste Management,,MODERATE,157,61.6,10,13.08,18.16,2.63,3.84,3.6,3.33,0,6.96,0, , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , ,,,,, , , , , , ,,,,0,0,0,0,0,,,53118182,4565829,61438439,6780521,-8320257,-2214692,14919,29552131,14385032,34542
Banning,1913,8,"4,934","1,810",1626.685083,Council-Manager,General Law,31253,46.6,36.1,8.1,2,4.9,0,0.9,1.4,7.2,6.5,13.3,14.3,18.7,17.8,9.7,7.9,3.1,1.4,41038,53621,46.26,,,1,,,1,1,City operated,#REF!,Yes,,,,1,1,,,,,,City operated,1,Waste Management,,LOW,374,84.12,10,8.58,30,2.63,7.84,3.4,3.89,2.78,10,5,9652717,7050964,765196,978342,NULL,-488000,2388607,-488000,-0.20430318,3346423,2635833,164600,277987,NULL,-181000,597203,-181000,-0.30307952,,,,,,,,,,31230792,31228175,320712,1341476,NULL,NULL,-1018147,,, , , , , , ,,,,2,3,1,1,0,,,18351504,57093859,19827863,55502934,-1476359,1590925,-724000,29310298,13134555,60267144
Barstow,1947,13,"13,759","6,135",290.7416463,Council-Manager,General Law,23972,44.9,26.6,17.4,1.9,2.6,1.4,0.2,5.1,11.4,9.6,13,11.3,13.4,18.7,12.1,6.9,1.8,1.8,39585,53988,44.84,,,2,,,2,1,GSWC,#REF!,,,,,,,,,,,1,City operated,1,Burrtec Waste Services,,MODERATE,129,59.09,10,11.66,13.26,2.63,4.16,4,1.94,1.39,9.6,0.45, , , , , ,,,,,5394197,3997453,1654,80129,NULL,NULL,1318269,,,2027422,2526901,19,0,NULL,NULL,-499460,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,29897237,7423292,33259090,6604483,-3361853,818809,NULL,5655172,3333483,NULL
Beaumont,1912,40,16970,857,5645.740957,Council-Manager,General Law,49241,43.2,38.5,7.3,0.3,8,0.1,0.2,2.2,5.1,2.7,5.7,6,10.2,18.8,15.4,23.1,7.7,5.3,78111,88701,44.25,,,3,,,5,1,Beaumont Cherry Valley Water District,#REF!,Yes,,,,,1,,,,1,1,City operated,1,Waste Management,,MODERATE,62,52.14,5.6,0,6.71,3.25,10,3.8,4.17,3.61,10,5, , , , , ,,,,,8574143,10430002,6083344,0,NULL,NULL,4227485,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,1,0,0,0,,,66149634,17244186,169000000,13549256,-100000000,3694930,-322,62407545,8267378,16243497
Bell,1927,1,2,"7,884",353.1709792,Council-Manager,Charter,35728,91.7,5.5,1.5,0.1,0.7,0.2,0,0.4,5.4,5.6,13.9,14.3,18.2,19.4,12.5,7.4,1.8,1.5,42548,53141,85.82,,,4,2,"IOU, Mutual",6,5,"California Water Company, GSWC, Maywood Mutual Water Company, Tract 349 MWC, Tract 180 MWC",#REF!,,,,,,,,,,,1,City operated,1,Consolidated Disposal Service,,MODERATE,149,60.61,10,1.33,30,2.38,2.48,3.4,2.78,0.56,7.68,0, , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,28203203,NULL,30653191,NULL,-2449988,0,NULL,26217611,14686689,
Bell Gardens,1961,1,2,"29,308",44.43496656,Council-Manager,General Law,42331,95.6,2.7,0.6,0.1,0.8,0,0,0.1,5,6.6,14.7,14.6,19.2,21.5,9.1,7.3,1.5,0.6,41355,50019,87.37,N,1,2,1,IOU,6,2,"GSWC, Liberty Utilities",#REF!,,,,,,,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Athens Services,,MODERATE,225,68.08,10,14.08,22.89,4.38,5.52,3.6,2.5,1.11,4,0,1167953,1129349,12583,117622,NULL,NULL,-66435,,,,,,,,,,,,0,0,0,0,NULL,NULL,0,,, , , , , , ,,,, , , , , , ,,,,1,2,1,0,-1,,1,38598960,1276711,43144520,1463349,-4545560,-186638,149927,20092580,15235144,65002
Bellflower,1957,1,11,"45,909",68.0084515,Council-Manager,General Law,77131,55.7,16.4,12.2,0.2,12.6,0.6,0.5,1.9,3.4,6.5,9.4,10.2,15.6,18.7,14.1,14.5,4.3,3.2,55729,72571,69.45,Y,,4,3,"City Run, IOU, Mutual",6,4,"Bellflower Home Garden Water Company, Bellflower-Somerset Mutual Water Company, Liberty Utilities, City of Bellflower Municipal Water System (in process of being sold to Cal-Am pending CPUC approval)",#REF!,Yes,,,,,1,1,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,CR&R Environmental Services,,LOW,271,73.41,10,13.24,14.05,2.63,9.84,3.85,4.44,3.61,10,1.75,1849282,857514,43672,369715,NULL,NULL,665725,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,1,1,1,0,,,51619202,2149843,48036116,1441344,3583086,708499,NULL,40920846,10429160,1994275
Belmont,1926,1,3.2,984,2655.386179,Council-Manager,General Law,27113,10.8,55.2,0.9,0.2,27.3,0.4,0.1,5.1,2.6,2.8,3.6,4,6.1,9.6,8.6,16.8,13.1,32.8,135342,181855,75.2,,,3,,,5,1,Mid-Peninsula Water District (special district),#REF!,Yes,,,,,1,1,,,,1,City operated,1,Recology (liscensed by South Bayside Waste Management Authority),,LOW,283,74.87,10,11.66,20.5,3.13,7.92,3.55,3.33,2.78,10,2, , , , , , ,,,,13677385,8105519,450792,1499156,NULL,-1312423,4523502,-1312423,-0.29013428,428446,338756,37865,0,NULL,NULL,127555,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,48617887,25602342,39953779,20670318,8664108,4932024,1001201,36293987,11250415,25003456
Belvedere,1896,0,,434,385.9447005,Council-Manager,General Law,2109,3.1,91.1,0,0,3.2,0,0,2.6,2.9,1,2.7,4.3,4.9,8.7,4.6,10.2,6.8,53.9,223182,366897,71.12,,,3,,,5,1,Marin Municipal Water District ,#REF!,,,,,,,,,,,1,Sanitary District No. 5 of Marin County (special district),1,Mill Valley Refuse Service,,LOW,344,81.23,10,15,23.68,3.38,8,3.95,3.61,3.61,10,0, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,9348886,NULL,11441208,NULL,-2092322,0,NULL,4666259,3850031,NULL
Benicia,1850,5,861.8,480,5797.083333,Council-Manager,General Law,28306,13.3,63.5,5.7,0,11,0.2,0.4,5.9,2.3,3,5.6,3.5,7.3,16.4,12.8,18.9,14.2,16.1,99018,126644,65.93,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,1,1,1,1,City operated,1,Republic Services,,MODERATE,182,63.85,10,10,20.13,3.13,3.6,3.65,2.78,0.56,10,0,10987472,7957464,158089,412773,231270,-381270,2775324,-150000,-0.05404774,10561373,6490754,210076,303431,205000,-355000,3977264,-150000,-0.03771437,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,47582005,27490005,42090125,18498340,5491880,8991665,93026,32892096,20810583,26971447
Berkeley,1878,0,,"5,101",2284.689277,Council-Manager,Charter,121643,11.4,53.8,7.9,0.3,20,0.5,0.2,5.9,7.9,4.5,7.1,6.7,8,13,8.8,16.2,9.9,17.8,80912,124789,90.36,,,3,,,5,1,East Bay Municipal Utility District,#REF!,Yes,1,1,,1,1,,,,1,1,East Bay Muncipal Utility District,1,City operated,,MODERATE,90,55.52,10,11.75,12.75,3.25,0.88,3.45,2.22,0,9.92,1.3, , , , , , ,,,,23979787,13279060,109063,0,119081,-193023,10809790,-73942,-0.00684028,45015080,41436182,107095,3524,NULL,-110870,3682469,-110870,-0.030107518, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,299000000,140000000,270000000,126000000,28249849,14854151,3253154,247000000,82507563,68888507
Beverly Hills,1914,3,4.6,674,4971.661721,Council-Manager,General Law,34183,6.2,77.6,1.6,0.1,9.5,0,0.4,4.5,7.5,3.7,6.5,4,4.8,10.9,11.1,15.4,9.5,26.4,103403,190537,63.81,N,,1,,,1,1,City operated (extends service to parts of West Hollywood),#REF!,Yes,,,,,1,1,1,1,1,1,City operated (send to Hyperion),1,Athens Services,,LOW,322,78.97,10,11.16,27.95,3.25,7.28,3.5,3.61,2.22,10,0,36627941,31402190,2487951,2416823,3847203,-9969,5296879,3837234,0.72443301,12650620,8402677,593798,511201,NULL,-10195,4330540,-10195,-0.00235421,15361655,15323415,335392,320292,NULL,-427642,53340,-427642,-8.017285339, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,276000000,244000000,245000000,239000000,30841651,5729407,9193486,307000000,211000000,169000000
Big Bear Lake,1980,3,108,"5,351",-1.308166698,Council-Manager,Charter,5281,28.2,68.2,1,1,1.2,0.2,0,0.3,7.3,7.3,11.4,11.3,11.1,18.9,12.3,11.9,2.1,6.5,51014,75621,33.01,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated (send to Big Bear Area Regional Wastewater Agency) ,1,Big Bear Disposal Inc.,,LOW,267,73.06,10,11.58,15.09,3.25,7.68,3.84,2.78,3.84,10,5,12119123,7808393,426598,1308938,NULL,NULL,3428390,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,1,1,1,0,,,33577938,12545721,38187066,9117331,-4609128,3428390,NULL,20048228,6249366,8185606
Biggs,1903,10,284.3,403,327.7915633,Council-Manager,General Law,1724,49.5,41.6,0,0.6,2,0,0,6.3,0.9,3.2,13.7,15.7,16,21.2,14,10,3.2,2.1,52727,64633,36.46,,,1,,,1,1,City operated,#REF!,Unsure,,,,,,,,,,1,City operated,1,Waste Management,,LOW,277,74.18,10,4.83,23.34,3,10,3.85,4.72,4.44,10,0,490243,434127,2978,138761,NULL,NULL,-79667,,,669236,497678,9541,69776,NULL,NULL,111323,,,187647,187916,2375,0,NULL,-8000,2106,-8000,-3.798670465,2453904,2218276,137581,0,NULL,-172000,373209,-172000,-0.460867771, , , , , , ,,,,3,4,1,1,0,,,1594298,3953505,1451702,3546534,142596,406971,-180000,2393109,650212,2541897
Bishop,1903,1,443,"1,190",214.789916,Council-Manager,General Law,3746,27.5,66.1,0.7,0.4,3,0,0,2.3,2.5,10.4,8.6,18.2,13.6,25.3,8.4,9.7,0.7,2.7,44797,58126,47.05,N,,1,,,1,1,City operated,#REF!,No,,,,,,,,,,2,City operated and one portion of city under contract to Eastern Sierra Community Services District (ESCSD),1,Bishop Waste,,MODERATE,247,70.01,10,15,26.57,3.13,1.92,3.65,2.22,0.28,6.24,1,1247794,1108099,29591,7103,NULL,NULL,162183,,,1115173,973023,24634,432,NULL,NULL,166352,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,7739309,2578144,7319881,2206377,419428,371767,NULL,4673434,4020545,3100329
Blue Lake,1910,4,135.8,507,148.9151874,Council-Manager,General Law,1262,5.9,81.5,0,4.5,1.3,0,0,6.7,7.1,7.1,14.8,10.4,9.1,24.5,17.7,5.1,3.3,1.1,50446,56022,62.87,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,1,,,,1,City operated,1,Blue Lake Garbage (hauler contracted to Humbold Waste Management Authority JPA),,LOW,418,89.39,10,15,30,0,8.72,3.45,3.89,3.33,10,5,504852,474160,17541,2411,NULL,NULL,45822,,,424783,510994,18077,0,NULL,NULL,-68134,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,1289207,965253,1216659,987565,72548,-22312,NULL,1460524,1134081,2683217
Blythe,1916,17,"15,699","1,622",1130.517879,Council-Manager,General Law,19959,57.8,25.4,11.5,0.2,2.1,0.3,0.1,2.6,8.4,12.3,13.7,7.5,13.8,13.9,11.7,11.6,5.5,1.6,43141,62034,46.1,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,CR&R Environmental Services,,HIGH,3,31.1,1.5,7.25,0.39,1.88,4,3.55,2.22,1.11,9.2,0,2789569,2456452,21843,215389,NULL,-505909,139571,-505909,-3.62474296,3125118,3237772,25782,101607,NULL,-646231,-188479,-646231,3.42866314,844620,948504,5206,0,75000,-12291,-98678,62709,-0.635491194, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,10134847,7969319,11311989,8753591,-1177142,-784272,-797296,3713024,377105,2193078
Bradbury,1957,0,,618,75.40453074,Council-Manager,General Law,1084,14.7,42.6,0.9,0,40.9,0,0,0.9,6.5,0,2.7,2.7,4.5,8.2,8.2,15.1,15.1,37,154000,244091,47.12,,,2,,,2,1,Cal-American Water Company,#REF!,,,,,,,,,,,1,County operated (Los Angeles County Consolidated Sewer Maintenance District),1,Burrtec Waste Services,,HIGH,3,31.1,1.5,7.25,0.39,1.88,4,3.55,2.22,1.11,9.2,0, , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,2149032,NULL,1584590,NULL,564442,0,NULL,865792,-1546070,
Brawley,1908,11,2902.3,881,2876.844495,Council-Manager,General Law,26226,82.8,12.6,1.4,0.2,0.9,0.4,0.2,1.5,10.9,11.6,13.4,8.6,10.4,14.9,12.2,11.3,3.9,2.8,42687,61582,62.42,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,1,1,1,City operated,1,Republic Services,,MODERATE,70,52.96,2.65,11.83,3.47,2.5,7.2,3.65,3.33,3.33,10,5,6449954,4198110,80812,51976,NULL,NULL,2280680,,,5553151,3434648,198196,133917,NULL,NULL,2182782,,,1407503,1387846,0,0,NULL,NULL,19657,,, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,20418042,17842429,36529511,14577163,-16000000,3265266,NULL,18425828,772871,17042466
Brea,1917,13,"1,428","1,037",4104.532305,Council-Manager,General Law,43601,30.7,43.6,1.8,0.2,20.3,0.2,0.3,3,2.5,2.4,4.7,5.5,7.8,15.4,15.1,22.4,10.3,14,93703,114794,45.08,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Republic Services,,MODERATE,114,57.62,10,11.25,13.59,3,3.2,3.4,2.78,0.56,9.84,0,22885107,14282122,587831,2905363,NULL,NULL,6285453,,,2239774,1884756,842,0,NULL,NULL,355860,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,80496930,42182526,79038679,35732045,1458251,6450481,-588697,59192018,32381725,20011869
Brentwood,1948,39,"6,871","1,729",3589.994216,Council-Manager,General Law,63800,21.8,53.5,6.6,0.4,10.5,0.5,0.2,6.5,2.8,2.4,5.9,5,8.7,11,12,22,15.4,14.8,103771,118140,53.96,N,,1,,,1,1,City operated,#REF!,Yes,,,,1,1,1,,,1,1,City operated,1,City operated,,MODERATE,209,67.1,10,6.75,16.29,3.5,9.52,3.8,3.89,3.33,9.52,0.5,21784977,19030146,65200,2059953,1863133,-243248,760078,1619885,2.131208902,12096684,10529388,82233,214620,548678,-1915426,1434909,-1366748,-0.95249803,12293622,12281266,11155,0,171678,-289683,23511,-118005,-5.019139977, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,81283630,65738084,86595329,59755390,-5311699,5982694,-4998183,99675200,33632681,81130906
Brisbane,1961,3,305,"3,003",56.27705628,Council-Manager,General Law,4693,18.8,43.9,6,0,27.7,0,0.6,2.9,6.6,0,2.7,8.4,7.2,9.3,12.3,21.2,7,25.4,110372,143202,78.62,N,1,4,2,"City Run, Special District",6,3,"City operated, Brisbane Water District, Guadalupe Valley Municipal Improvement District",#REF!,Yes,,,,,1,1,1,1,1,1,City operated,2,South San Francisco Scavengers (except for Tunnel Avenue covered by Recology),,MODERATE,188,64.87,10,10.41,17.21,3.38,6,3.7,3.33,1.67,8.72,0.45,2280980,1966032,12311,101905,16000,-73643,225354,-57643,-0.25578867,2628341,1588083,12310,101906,16000,NULL,950662,16000,0.016830377,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,21644034,11447267,23186585,10564193,-1542551,883074,608686,16209046,7649557,8581428
Buellton,1992,0,,"3,828",33.46394984,Council-Manager,General Law,5109,32.4,63.6,0.4,0.1,0.8,0,0,2.7,2.6,4.3,4.9,7.4,8.3,13.1,17.1,22.9,13.5,6,83023,96909,47.4,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Marborg Industries,,LOW,439,90.91,10,15,30,3.5,10,3.8,4.44,4.17,10,0,2470525,1986774,23605,0,NULL,NULL,507356,,,1091370,1192648,14710,0,NULL,NULL,-86568,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,8348697,3600210,7127800,3179422,1220897,420788,NULL,8825096,7475802,3911579
Buena Park,1953,8,17,"46,401",77.62763734,Council-Manager,Charter,82421,38.4,24.4,3,0.2,31,0.8,0.1,2.1,4.6,3.1,6.8,7.3,11.2,18.5,12.9,19,8.9,7.8,72814,94196,57.06,Y,2,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,,,1,City operated,1,EDCO/Park Waste and Recycling Services,,MODERATE,218,67.7,10,14.08,19.46,2.75,3.44,3.55,3.06,0.56,10,0.8,18060365,16813556,349671,13888,23561,-170970,1582592,-147409,-0.09314403,0,0,0,0,NULL,NULL,0,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,72611675,24497216,109000000,24741954,-36000000,-244738,856391,45494277,32993286,17341140
Burbank,1911,0,,"2,913",3459.732235,Council-Manager,Charter,103695,23.7,56.7,2.6,0.3,12.3,0,1.2,3.2,5.7,5,7.7,6.9,10.1,15.6,12.8,16.3,9.2,10.8,73277,98099,66.53,N,,1,,,1,1,City operated,#REF!,Yes,,,,1,1,1,1,,,1,City operated,1,City operated,,MODERATE,224,68.02,10,12,16.08,2.88,6.16,3.75,3.33,1.67,10,2.15,34038134,30574410,625148,1950731,NULL,NULL,2138141,,,17514260,14453890,164397,378146,NULL,NULL,2846621,,,17365329,15952270,584144,99675,20000,NULL,1897528,20000,0.010540029,204000000,173000000,2346749,4505890,NULL,-12000000,28840859,-12000000,-0.416076373, , , , , , ,,,,3,4,1,1,0,,,208000000,314000000,257000000,268000000,-49000000,45771433,-16000000,149000000,72135716,162000000
Burlingame,1908,6,8,"1,565",1846.773163,Council-Manager,General Law,30467,12.4,55,1.5,0,25,0.1,0.4,5.5,2.5,1.9,4.4,4.7,5.6,10.9,10.4,18.2,11.4,29.9,122999,175041,75.37,N,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Recology,,MODERATE,220,67.82,10,9.58,17.99,3.13,7.28,3.65,3.89,2.78,8.72,0.8,18635292,13905501,67316,765306,NULL,-1293887,4031801,-1293887,-0.32092035,15866790,10400644,70666,805715,NULL,-1085859,4731097,-1085859,-0.22951527,782220,789262,19022,0,NULL,-58000,11980,-58000,-4.841402337, , , , , , ,,,, , , , , , ,,,,2,3,1,1,0,,,79289417,54526861,71972890,39321642,7316527,15205219,-2863673,96859753,29864637,59442210
Calabasas,1991,4,"1,511","21,356",12.16519948,Council-Manager,General Law,23954,8.3,76,0.8,0.2,9.5,0,0.2,5.1,6.4,2.7,1.8,4.5,7.3,11.5,8.3,17.7,9.3,30.5,119926,194010,62.49,,,3,,,5,1,Las Virgenes Municipal Water District,#REF!,Yes,,,,1,1,,,,,1,Las Virgenes Municipal Water District,1,Waste Management/G.I. Industries,,LOW,379,84.52,10,9.66,30,2.25,10,4,4.44,4.17,10,0, , , , , ,,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,39594835,4169142,42997296,4274413,-3402461,-105271,NULL,31036734,9729391,733805
Calexico,1908,34,2681,797,4936.260979,Council-Manager,General Law,40139,97.8,1.2,0.2,0.1,0.6,0,0,0.1,7.6,11.1,14.3,10.5,14.4,16.4,9.1,10.2,4,2.3,40925,59442,86.3,N,,1,,,1,1,City operated,#REF!,Yes,,,,,1,,1,1,1,1,City operated,1,Allied Waste Services,,HIGH,5,32.68,0,7.75,0,2.63,7.28,3.75,3.61,2.22,5.44,0,6767013,6302488,145708,128601,NULL,NULL,481632,,,5530908,3843821,265775,0,NULL,NULL,1952862,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,25619039,17069384,24138637,14813309,1480402,2256075,NULL,40022214,NULL,30904046
California City,1965,3,"38,793","1,309",986.0962567,Council-Manager,General Law,14217,31.3,34.6,24.9,0.5,3.6,0.2,0,4.8,8.5,8.2,13.8,9.3,11.7,19.4,11,12,4,2,48238,61925,38.28,,,1,,,1,1,City operated,#REF!,,,,,,,,,,,1,City operated,1,Waste Management,,LOW,400,86.96,10,13.83,30,2.75,6.88,3.5,2.78,2.22,10,5,6943728,4064965,0,376825,533,-257160,2501938,-256627,-0.10257129,1798735,1207879,0,51747,126,-186248,539109,-186122,-0.34524002,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,16078034,9003180,16787017,7527638,-708983,1475542,-462419,91221569,3137651,8172237
Calimesa,1990,2,248,"7,139",25.18560022,Council-Manager,General Law,8937,29.3,66.3,1.2,0.1,1.5,0,0,1.6,5.9,5.1,9.7,15,12,17.7,10.5,14.6,5.7,3.7,53366,68838,31.4,,,4,2,"Mutual, Special District",6,2,South Mesa Water Company (mutual) and Yucaipa Valley Water District (special district),#REF!,Yes,,,,1,1,1,1,1,1,1,Yucaipa Valley Water District,1,CR&R Environmental Services,,LOW,291,76.02,8.55,15,11.01,3.25,10,4.05,4.72,4.44,10,5, , , , , , ,,,,,,,,,,,,,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,0,0,0,0,0,,,7706224,NULL,7124525,NULL,581699,0,NULL,9195470,3290498,
Calipatria,1919,1,1198.6,785,844.2038217,Council-Manager,General Law,7412,75.6,5.8,15.1,0.7,0.8,0.7,0,1.3,13.4,14.2,9.4,11.3,19.6,17.8,6,6.8,1.5,0,35842,42998,66.4,,,2,,,2,1,GSWC,#REF!,Yes,,,,,,1,,,,1,City operated,1,CR&R Environmental Services,,MODERATE,108,57.26,0,15,0,5,10,4.2,4.17,3.89,10,5, , , , , , ,,,,566790,565584,77494,1350,NULL,NULL,77350,,,8871,551,0,0,NULL,NULL,8320,,, , , , , , ,,,, , , , , , ,,,,2,2,0,0,0,,,2737814,683827,2548602,593378,189212,90449,NULL,3553989,-35804,-96762
Calistoga,1886,0,,690,671.3043478,Council-Manager,General Law,5322,40.7,53.3,0,0,4.8,0.3,0,0.9,4.2,3,9.2,6.2,14.1,14.7,16.3,17.6,4.1,10.5,70119,105182,72.63,N,,1,,,1,1,City operated,#REF!,Yes,,1,,,1,,1,1,1,1,City operated,1,Upper Valley Disposal Service,,LOW,264,72.59,10,10.5,20.93,4.13,8.48,3.55,1.94,3.06,10,0,2730765,3256720,20507,261294,NULL,NULL,-766742,,,2508949,2835563,53245,177106,NULL,-7500,-450475,-7500,0.016649093,,,,,,,,,, , , , , , ,,,, , , , , , ,,,,1,2,1,1,0,,,18051827,5766613,18590834,7025772,-539007,-1259159,119421,7384730,5554921,3140734
